sym,name,region_id,instrument_id,blp_symbol,blp_type,exchange_id,sector_id,subsector_id,tt_exchange,orderGenRegion_id,varsubsector_id,trading_start_time,trading_end_time
CT,COTTON,US,FUT,CT,COMDTY,NYCE,COMMODITY,AGR,ICE_IPE,US,AGR,10:30:00,14:15:00
CZK,USD/CZK,WORLD,FX,USDCZK,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
DCLN,NYSE Declining,US,FUT,DCLN,INDEX,CASH,EQUITY,EQUITY,NOT_TT,US,EQUITY,00:00:00,16:00:00
DK,USD/DKK,WORLD,FX,USDDKK,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
DM,DOW MINI,US,FUT,DM,INDEX,CME,EQUITY,EQUITY,CME-H,US,EQUITY,09:30:00,16:15:00
DVOL,NYSE Down Volume,US,FUT,DVOL,INDEX,CASH,EQUITY,EQUITY,NOT_TT,US,EQUITY,00:00:00,16:00:00
EBL,BUNDS,EUROPE,FUT,RX,COMDTY,EUREX,FI,FI_LM,Eurex-B,EUROPE,FI,02:00:00,13:00:00
EBM,BOBL,EUROPE,FUT,OE,COMDTY,EUREX,FI,FI_LM,Eurex-B,EUROPE,FI,02:00:00,13:00:00
ED2,EURODOLLAR 3M,US,FUT,ED,COMDTY,CME,FI,FI_SM,CME-H,US,FI,08:20:00,15:00:00
ES,S&P MINI,US,FUT,ES,INDEX,CME,EQUITY,EQUITY,CME-H,US,EQUITY,09:30:00,16:15:00
ES10,S&P MINI,US,FUT,ES,INDEX,CME,EQUITY,EQUITY,CME-H,US,EQUITY,09:30:00,16:15:00
ES3,S&P MINI,US,FUT,ES,INDEX,CME,EQUITY,EQUITY,CME-H,US,EQUITY,09:30:00,16:15:00
EU,EUR/USD,WORLD,FX,EURUSD,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
EURAUD,EUR/AUD,WORLD,FX,EURAUD,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
EURCAD,EUR/CAD,WORLD,FX,EURCAD,CURNCY,CASH,FX,FX,FX,WORLD,FX,18:00:00,15:00:00
FCH,CAC,EUROPE,FUT,CF,INDEX,MATIF,EQUITY,EQUITY,NYSE_Liffe,EUROPE,EQUITY,03:00:00,11:30:00
FDX,DAX,EUROPE,FUT,GX,INDEX,EUREX,EQUITY,EQUITY,Eurex-B,EUROPE,EQUITY,03:00:00,14:00:00
FEI,EURIBOR 3M,EUROPE,FUT,ER,COMDTY,LIFFE,FI,FI_SM,NYSE_Liffe,EUROPE,FI,02:00:00,11:30:00
FEI2,EURIBOR2 3M,EUROPE,FUT,ER,COMDTY,LIFFE,FI,FI_SM,NYSE_Liffe,EUROPE,FI,02:00:00,11:30:00
FES,EUROSWISS,EUROPE,FUT,ES,COMDTY,LIFFE,FI,FI_SM,LIFFE,EUROPE,FI,03:30:00,14:00:00
